은행코드,은행명,상품코드,상품명,상품일련번호,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,통장거치식_신규가입금액_단위,적립식_월부금_단위,상품개요_설명,신규채널,해지채널,상품그룹코드,상품그룹명,예금입출금방식,만기여부,이자지급방법,이자계산방법,적립식_부금납입방식,적립식_부금납입주기,적립식_부금금액한도_여부,적립식_부금금액한도_조건,가입대상고객_조건여부,가입대상고객_조건,가입제한_조건여부,가입제한_조건,기본금리,예금자보호대상여부,판매한도금액,만기후이율,중도해지이율,세제혜택_비과세종합저축_여부,세제혜택_비과세종합저축_조건,회전식_정기예금_여부,회전식_정기예금_회전주기_개월수,기타_상품가입_고려사항,추가내용,우대금리조건여부,우대금리조건_개수,최대우대금리,우대금리조건_고객예금실적_여부,우대금리조건_고객예금실적_조건,우대금리조건_고객예금실적_우대금리,우대금리조건_우수고객우대제도_여부,우대금리조건_우수고객우대제도_조건,우대금리조건_우수고객우대제도_우대금리,우대금리조건_가입금액우대_여부,우대금리조건_가입금액우대_조건,우대금리조건_가입금액우대_우대금리,우대금리조건_아파트관리비이체_여부,우대금리조건_아파트관리비이체_조건,우대금리조건_아파트관리비이체_우대금리,우대금리조건_공과금이체_여부,우대금리조건_공과금이체_조건,우대금리조건_공과금이체_우대금리,우대금리조건_급여이체_여부,우대금리조건_급여이체_조건,우대금리조건_급여이체_우대금리,우대금리조건_예금자동이체_여부,우대금리조건_예금자동이체_여부_조건,우대금리조건_예금자동이체_우대금리,우대금리조건_보험료자동이체_여부,우대금리조건_보험료자동이체_여부_조건,우대금리조건_보험료자동이체_우대금리,우대금리조건_연금자동이체_여부,우대금리조건_연금자동이체_여부_조건,우대금리조건_연금자동이체_우대금리,우대금리조건_신용카드가맹점결제계좌_여부,우대금리조건_신용카드가맹점결제계좌_조건,우대금리조건_신용카드가맹점결제계좌_우대금리,우대금리조건_신용카드결제계좌_여부,우대금리조건_신용카드결제계좌_조건,우대금리조건_신용카드결제계좌_우대금리,우대금리조건_신용카드사용금액_여부,우대금리조건_신용카드사용금액_조건,우대금리조건_신용카드사용금액_우대금리,우대금리조건_체크카드연계_여부,우대금리조건_체크카드연계_조건,우대금리조건_체크카드연계_우대금리,우대금리조건_제휴카드연계_여부,우대금리조건_제휴카드연계_조건,우대금리조건_제휴카드연계_우대금리,우대금리조건_재유치_여부,우대금리조건_재유치_조건,우대금리조건_재유치_우대금리,우대금리조건_카드사용실적_여부,우대금리조건_카드사용실적_조건,우대금리조건_카드사용실적_우대금리,우대금리조건_퇴직금예치_여부,우대금리조건_퇴직금예치_조건,우대금리조건_퇴직금예치_우대금리,우대금리조건_고객특성우대_여부,우대금리조건_고객특성우대_조건,우대금리조건_고객특성우대_우대금리,우대금리조건_장병우대_여부,우대금리조건_장병우대_조건,우대금리조건_장병우대_우대금리,우대금리조건_농어민우대_여부,우대금리조건_농어민우대_조건,우대금리조건_농어민우대_우대금리,우대금리조건_어린이우대_여부,우대금리조건_어린이우대_조건,우대금리조건_어린이우대_우대금리,우대금리조건_학생우대_여부,우대금리조건_학생우대_조건,우대금리조건_학생우대_우대금리,우대금리조건_첫거래우대_여부,우대금리조건_첫거래우대_조건,우대금리조건_첫거래우대_우대금리,우대금리조건_고객연령우대_여부,우대금리조건_고객연령우대_조건,우대금리조건_고객연령우대_우대금리,우대금리조건_비대면채널_여부,우대금리조건_비대면채널_조건,우대금리조건_비대면채널_우대금리,우대금리조건_인터넷뱅킹_여부,우대금리조건_인터넷뱅킹_조건,우대금리조건_인터넷뱅킹_우대금리,우대금리조건_모바일뱅킹_여부,우대금리조건_모바일뱅킹_조건,우대금리조건_모바일뱅킹_우대금리,우대금리조건_모바일앱_여부,우대금리조건_모바일앱_조건,우대금리조건_모바일앱_우대금리,우대금리조건_오픈뱅킹_여부,우대금리조건_오픈뱅킹_조건,우대금리조건_오픈뱅킹_우대금리,우대금리조건_마이데이터_여부,우대금리조건_마이데이터_조건,우대금리조건_마이데이터_우대금리,우대금리조건_상품미보유_여부,우대금리조건_상품미보유_조건,우대금리조건_상품미보유_우대금리,우대금리조건_만기금액우대_여부,우대금리조건_만기금액우대_조건,우대금리조건_만기금액우대_우대금리,우대금리조건_마케팅활용동의_여부,우대금리조건_마케팅활용동의_조건,우대금리조건_마케팅활용동의_우대금리,우대금리조건_위치인증_여부,우대금리조건_위치인증_조건,우대금리조건_위치인증_우대금리,우대금리조건_기타1_여부,우대금리조건_기타1_조건,우대금리조건_기타1_우대금리,우대금리조건_기타2_여부,우대금리조건_기타2_조건,우대금리조건_기타2_우대금리,우대금리조건_기타3_여부,우대금리조건_기타3_조건,우대금리조건_기타3_우대금리,우대금리조건_기타4_여부,우대금리조건_기타4_조건,우대금리조건_기타4_우대금리,우대금리조건_기타5_여부,우대금리조건_기타5_조건,우대금리조건_기타5_우대금리
032,부산은행,032-00046,BNK내맘대로 예금,1,1개월 이상,3개월 미만,1백만원,제한없음,1백만원 이상 (원 단위),제한없음,"가입기간, 가입금액, 우대이율을 마음대로 선택할 수 있는?상품?","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 6:모바일웹뱅킹",1,은행수신상품,2:거치식(목돈운용),만기 있음,"1:만기일시 지급식, 2:월이자 지급식",1:단리,,,,,없음,,있음,금융기관 및 시금고 등은 대상에서 제외,2.7,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,Y,2.0,0.2,Y,"해지시 적용 우대이율 : 
가입 고객별로 아래 5가지 우대이율 항목 중 3가지를 자유롭게 선택
 (1) 입출금 평잔 우대이율 : 0.05%p
  - (개인) 보유한 입출금통장의 월 평균 잔액이 50만원 이상인 횟수가 가입월수의 1/2 이상인 경우 적용
  - (개인 외) 보유한 입출금통장의 월 평균 잔액이 5백만원 이상인 횟수가 가입월수의 1/2 이상인 경우 적용
 (2) 대출 실적 우대이율 : 0.05%p
  - (개인) 이 예금 가입기간 중 신규대출 취급 실적이 존재하는 경우 적용
  - (개인 외) 이 예금 가입기간 중 신규대출 취급 실적이 누적 1억원 이상인 경우 적용
 (3) 외환 실적 우대이율 : 0.05%p
  - (개인) 이 예금 가입기간 중 외화송금, 환전 누적 실적이 미화 1천불 이상인 경우 적용
  - (개인 외) 이 예금 가입기간 중 외화송금, 환전, 수출입 누적 실적이 미화 1만불 이상인 경우 적용
 (4) 신용(체크)카드 실적 우대이율 : 0.05%p
  - (개인) 이 예금 가입기간 중 신용(체크)카드 누적 이용금액이 50만원 이상인 경우 적용
  - (개인 외) 이 예금 가입기간 중 신용(체크)카드 누적 이용금액이 5백만원 이상인 경우 적용
 (5) 적금 불입 금액 우대이율 : 0.05%p
  - (개인) 이 예금 가입기간 중 부산은행 적금 불입 금액이 1백만원 이상인 경우 적용
  - (개인 외) 이 예금 가입기간 중 부산은행 적금 불입 금액이 5백만원 이상인 경우 적용
  - 이 예금 신규 가입일 이전에 가입한 부산은행 적금 계좌의 이 예금 가입기간 중 불입 금액도 인정",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"신규시 우대 :
비대면 채널 가입 또는 상품서비스안내 동의서 징구 우대이율 : 0.05%p
- 비대면 채널을 통해 이 예금을 가입하거나, 신규시 영업점 창구에서 상품서비스안내 동의서 징구 후 신규하는 경우 적용
  - 비대면 채널 가입 우대이율과 상품서비스안내 동의서 징구 우대이율은 서로 중복하여 적용이 불가하며 신규 가입 시점에 우대율이 적용되어 중도 변경이 불가",0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00018,탄탄성공적금,1,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,월10만원 이상,개인사업자 및 법인고객을 대상으로 거래실적 등에 따른 다양한 우대금리 및 공장구입 등사유 발생시 특별중도해지가 가능한 적립식 상품,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,개인사업자 및 법인,있음,"국가, 지방자치단체 제외",3.6,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합한도 범위 내,,,,"특별중도해지
- 조건 : 이 예금 가입 후 1년 이상 경과하고 납입지연이 3회차 미만인 계좌로서 아래의
사유로 증빙자료를 사유발생일로부터 1개월 이내 제출하여 중도해지 하는 경우
- 사유 : 예금주 명의의 공장(사업장) 구입, 증축, 해외투자시
- 증빙서류 : 부동산매매계약서, 부동산등기부등본, 해외직접투자신고(수리)서 등
- 특별중도해지이율 : 이 예금의 경과기간에 대하여 가입 당시 경과기간별 이율 적용",Y,4.0,0.3,Y,"입출금예금 평잔 우대 :
1) 평잔이 적금납입액 이상 : 0.1%
2) 평잔이 적금납입액 2배이상",0.15,,,,,,,,,,,,,,,,Y,Y,0.05,,,,,,,,,,,,,,,,,,,,,,,,,Y,"카드(신용,체크) 결제금액 우대 :
적금가입월~만기전전월말 카드결제 실적이
5백만원 이상",0.05,,,,Y,기술혁신형 중소기업 선정,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00018,탄탄성공적금,2,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,월10만원 이상,개인사업자 및 법인고객을 대상으로 거래실적 등에 따른 다양한 우대금리 및 공장구입 등사유 발생시 특별중도해지가 가능한 적립식 상품,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,개인사업자 및 법인,있음,"국가, 지방자치단체 제외",3.7,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합한도 범위 내,,,,"특별중도해지
- 조건 : 이 예금 가입 후 1년 이상 경과하고 납입지연이 3회차 미만인 계좌로서 아래의
사유로 증빙자료를 사유발생일로부터 1개월 이내 제출하여 중도해지 하는 경우
- 사유 : 예금주 명의의 공장(사업장) 구입, 증축, 해외투자시
- 증빙서류 : 부동산매매계약서, 부동산등기부등본, 해외직접투자신고(수리)서 등
- 특별중도해지이율 : 이 예금의 경과기간에 대하여 가입 당시 경과기간별 이율 적용",Y,4.0,0.3,Y,"입출금예금 평잔 우대 :
1) 평잔이 적금납입액 이상 : 0.1%
2) 평잔이 적금납입액 2배이상 : 0.15%",0.15,,,,,,,,,,,,,,,,Y,Y,0.05,,,,,,,,,,,,,,,,,,,,,,,,,Y,"카드(신용,체크) 결제금액 우대 : 
적금가입월~만기전전월말 카드결제 실적이
5백만원 이상",0.05,,,,Y,기술혁신형 중소기업 선정,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F05,오투저축은행,F05-00012,자유적립예금,4,24개월이상,36개월이하,제한없음,제한없음,제한없음,제한없음,계약기간내 이내에서 횟수와 금액에 제한없이 입금이 자유로운 예금,1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,없음,,있음,"실명의 개인(단, 금융거래목적 확인시에 한함)",없음,,3.9,Y,,"1개월 이내    약정이율과 만기일 당시의 약정기간에 해당하는 이율 중 낮은 이율 적용
1개월 초과    보통예금 이율 0.5%
","신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
이율표이며 예치기간,중도해지 이율 항목이 있습니다.
예치기간	    중도해지 이율
1개월 미만   보통예금이율
1개월 이상 ~ 3개월 미만 약정금리× 50%
3개월 이상 ~ 12개월 미만 약정금리× 60%
12개월 이상   약정금리× 70%",Y,"만65세 이상의 거주자,장애인복지법에 의하여 독립유공자와 그 유족 또는 국가유공자증에 의한 상이자,기초생활보장수급자
고엽제후유증환자,5.18민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00018,탄탄성공적금,3,36개월,36개월,제한없음,제한없음,제한없음,월10만원 이상,개인사업자 및 법인고객을 대상으로 거래실적 등에 따른 다양한 우대금리 및 공장구입 등사유 발생시 특별중도해지가 가능한 적립식 상품,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,있음,개인사업자 및 법인,있음,"정부, 지방자치단체 제외",3.8,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합한도 범위 내,,,,"특별중도해지
- 조건 : 이 예금 가입 후 1년 이상 경과하고 납입지연이 3회차 미만인 계좌로서 아래의
사유로 증빙자료를 사유발생일로부터 1개월 이내 제출하여 중도해지 하는 경우
- 사유 : 예금주 명의의 공장(사업장) 구입, 증축, 해외투자시
- 증빙서류 : 부동산매매계약서, 부동산등기부등본, 해외직접투자신고(수리)서 등
- 특별중도해지이율 : 이 예금의 경과기간에 대하여 가입 당시 경과기간별 이율 적용",Y,4.0,0.3,Y,"입출금예금 평잔 우대
1) 평잔이 적금납입액 이상 : 0.1%
2) 평잔이 적금납입액 2배이상 : 0.15%",0.15,,,,,,,,,,,,,,,,Y,Y,0.05,,,,,,,,,,,,,,,,,,,,,,,,,Y,"카드(신용,체크) 결제금액 우대 :
적금가입월~만기전전월말 카드결제 실적이
5백만원 이상",0.05,,,,Y,기술혁신형 중소기업 선정,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00019,신자유부금,2,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,월1만원 이상,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,"계약기간 1/2해당월 말일까지는 무제한
(계약기간 1/2 초과기간은 월1천만원 이내)",없음,,없음,,3.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합한도 범위 내,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,농협은행,011-00049,실업급여지킴이 통장,1,제한없음,제한없음,0원,0원,0원,제한없음,법령에 따라 압류가 금지되는 수급금 등의 압류방지 전용통장,1:영업점,0:제한없음,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,"「고용보험법」에서 정하는 실업급여수급자
(1인1계좌)",없음,,0.1,Y,,,,Y,,,,,가입대상에게 지급되는 압류금지 대상 수급금에 한하여 입금 가능,Y,1.0,0.1,Y,일별 잔액 100만원 이하 금액에 적용,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00019,신자유부금,3,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,월1만원 이상,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,"계약기간 1/2해당월 말일까지는 무제한
(계약기간 1/2 초과기간은 월1천만원 이내)",없음,,없음,,3.1,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합한도 범위 내,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00019,신자유부금,4,36개월,36개월,제한없음,제한없음,제한없음,월1만원 이상,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,"계약기간 1/2해당월 말일까지는 무제한
(계약기간 1/2 초과기간은 월1천만원 이내)",없음,,없음,,3.2,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합한도 범위 내,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00020,올해는예금(시즌3),1,6개월,6개월,1백만원 이상,10억원 이하,1백만원 이상,제한없음,신규고객에 우대금리를 제공하는 비대면 정기예금 특판상품,"2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,실명개인,없음,,2.7,Y,2조원,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,3.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,오픈뱅킹 가입 및 만기시까지 유지,0.1,,,,Y,가입일 과거 1년 정기예금 미보유,0.2,,,,,,,,,,Y,"가입고객 누구나 특판감사 
 - 6개월: 0.95%  
 - 12개월: 0.75%",,,,,,,,,,,,,
039,경남은행,039-00020,올해는예금(시즌3),2,12개월,12개월,1백만원 이상,10억원 이하,1백만원 이상,제한없음,신규고객에 우대금리를 제공하는 비대면 정기예금 특판상품,"2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,실명개인,없음,,3.05,Y,2조원,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,3.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,오픈뱅킹 가입 및 만기시까지 유지,0.1,,,,Y,가입일 과거 1년 정기예금 미보유,0.2,,,,,,,,,,Y,"가입고객 누구나 특판감사 
 - 6개월: 0.95%  
 - 12개월: 0.75%",,,,,,,,,,,,,
011,농협은행,011-00076,NH모여라통장(저축예금),1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,모임 및 회비관리를 위한 농협은행 입출식 통장,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,개인(1인1계좌),없음,,0.1,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,경남은행,039-00021,고객님 감사합니다 정기예금,2,6개월,6개월,1백만원 이상,20억원 이하,1백만원 이상,제한없음,만기까지 보유만하면 가입기간별 최고금리가 제공되는 정기예금 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,"1:만기일시 지급식, 2:월이자 지급식",1:단리,,,,,없음,,있음,"국가, 지방자치단체, 금융기관 제외
판매기한 : 2023. 12. 31",2.65,Y,3조원,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합 한도 범위 내,,,,,Y,3.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,비대면채널을 통한 가입,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"가입기간 우대
1) 가입기간 3개월 : 0.4%
2) 가입기간 6개월 : 0.4%
3) 가입기간 12개월 : 0.2%",,Y,"이자지급방법 우대
 - 만기이자지급식은 월이자지급식에 0.1% 추가",0.1,,,,,,,,,
039,경남은행,039-00021,고객님 감사합니다 정기예금,3,12개월,12개월,1백만원 이상,20억원 이하,1백만원 이상,제한없음,만기까지 보유만하면 가입기간별 최고금리가 제공되는 정기예금 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,"1:만기일시 지급식, 2:월이자 지급식",1:단리,,,,,없음,,있음,"국가, 지방자치단체, 금융기관 제외
판매기한 : 2023. 12. 31",2.95,Y,3조원,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,전 금융기관 통합 한도 범위 내,,,,,Y,3.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,비대면채널을 통한 가입,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"가입기간 우대
1) 가입기간 3개월 : 0.4%
2) 가입기간 6개월 : 0.4%
3) 가입기간 12개월 : 0.2%",,Y,"이자지급방법 우대
 - 만기이자지급식은 월이자지급식에 0.1% 추가",0.1,,,,,,,,,
039,경남은행,039-00022,BNK 주거래우대 정기예금,1,6개월,6개월,1백만원 이상,5억원 이하,1백만원 이상,제한없음,급여/연금/가맹점 대금입금 및 신용(체크)카드 실적 등에 따라 우대이율을 제공하는 비대면 정기예금 상품,"2:인터넷뱅킹, 3:스마트뱅킹, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,실명개인 및 개인사업자,없음,,3.15,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,당행 신용/체크카드 결제 실적 보유 (카드 결제계좌 당행계좌로 등록된 경우에 한함),0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,가입일 6개월 이전 정기예금 미보유,0.1,,,,,,,,,,Y,"주거래 우대 : 급여 입금, 연금 입금, 가맹점 
결제대금 중 1종류 입금 (가입개월수의 2/3 
이상 실적 보유시)",,,,,,,,,,,,,
039,경남은행,039-00022,BNK 주거래우대 정기예금,2,12개월,12개월,1백만원 이상,5억원 이하,1백만원 이상,제한없음,급여/연금/가맹점 대금입금 및 신용(체크)카드 실적 등에 따라 우대이율을 제공하는 비대면 정기예금 상품,"2:인터넷뱅킹, 3:스마트뱅킹, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,실명개인 및 개인사업자,없음,,3.5,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,당행 신용/체크카드 결제 실적 보유 (카드 결제계좌 당행계좌로 등록된 경우에 한함),0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,가입일 6개월 이전 정기예금 미보유,0.1,,,,,,,,,,Y,"주거래 우대 : 급여 입금, 연금 입금, 가맹점 
결제대금 중 1종류 입금 (가입개월수의 2/3 
이상 실적 보유시)",,,,,,,,,,,,,
039,경남은행,039-00022,BNK 주거래우대 정기예금,3,24개월,24개월,1백만원 이상,5억원 이하,1백만원 이상,제한없음,급여/연금/가맹점 대금입금 및 신용(체크)카드 실적 등에 따라 우대이율을 제공하는 비대면 정기예금 상품,"2:인터넷뱅킹, 3:스마트뱅킹, 6:모바일웹뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,실명개인 및 개인사업자,없음,,3.55,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,당행 신용/체크카드 결제 실적 보유 (카드 결제계좌 당행계좌로 등록된 경우에 한함),0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,가입일 6개월 이전 정기예금 미보유,0.1,,,,,,,,,,Y,"주거래 우대 : 급여 입금, 연금 입금, 가맹점 
결제대금 중 1종류 입금 (가입개월수의 2/3 
이상 실적 보유시)",,,,,,,,,,,,,
